County/ Congressional District,Veteran Population*,Total Expenditure, Compensation & Pension ,Construction, Education & Vocational Rehabilitation/ Employment , Loan Guaranty# , General Operating Expenses , Insurance & Indemnities , Medical Care ,Unique Patients **,,,,,,,
Rhode Island                                                                                                                   ,"71,216"," $361,653 "," $155,147 "," $8,841 "," $19,526 ", $- ," $12,047 "," $6,427 "," $159,665 ","19,655",,,,,,,
South Carolina                                                                                                                 ,"406,729"," $2,093,514 "," $1,086,181 "," $14,092 "," $160,208 ", $- ," $51,111 "," $27,575 "," $754,347 ","110,090",,,,,,,
South Dakota                                                                                                                   ,"71,762"," $455,333 "," $179,340 ", $928 ," $18,373 ", $- ," $10,244 "," $4,994 "," $241,454 ","29,291",,,,,,,
Tennessee                                                                                                                      ,"495,766"," $2,466,606 "," $1,212,897 "," $10,659 "," $143,209 ", $- ," $64,400 "," $30,682 "," $1,004,758 ","124,733",,,,,,,
Texas                                                                                                                          ,"1,693,791"," $9,402,572 "," $4,460,761 "," $62,975 "," $778,237 "," $804,064 "," $206,882 "," $107,169 "," $2,982,483 ","396,299",,,,,,,
Utah                                                                                                                           ,"153,623"," $675,371 "," $262,497 "," $5,321 "," $54,801 ", $- ," $48,922 "," $12,931 "," $290,899 ","31,151",,,,,,,
Vermont                                                                                                                        ,"52,082"," $239,217 "," $96,158 "," $6,837 "," $28,810 ", $- ," $5,155 "," $3,799 "," $98,458 ","14,312",,,,,,,
Virginia                                                                                                                       ,"822,312"," $3,403,757 "," $1,681,764 "," $14,891 "," $559,581 ", $- ," $112,950 "," $61,590 "," $972,982 ","126,889",,,,,,,
Washington                                                                                                                     ,"632,210"," $2,527,972 "," $1,391,229 "," $33,779 "," $232,021 ", $- ," $52,932 "," $42,313 "," $775,698 ","103,232",,,,,,,
West Virginia                                                                                                                  ,"167,182"," $1,306,463 "," $506,560 "," $44,885 "," $77,151 ", $- ," $152,118 "," $9,658 "," $516,090 ","58,311",,,,,,,
Wisconsin                                                                                                                     ,"417,654"," $1,876,977 "," $808,775 "," $30,910 "," $105,741 ", $- ," $57,209 "," $33,791 "," $840,550 ","112,788",,,,,,,
Wyoming                                                                                                                        ,"55,850"," $262,678 "," $102,431 ", $635 ," $12,106 ", $- ," $3,144 "," $2,701 "," $141,661 ","17,855",,,,,,,
Puerto Rico                                                                                                                   ,"112,699"," $1,107,564 "," $543,031 "," $19,786 "," $30,360 ", $- ," $23,685 "," $3,266 "," $487,436 ","58,349",,,,,,,
Guam,"8,144"," $40,177 "," $29,232 ", $- ," $4,230 ", $- , $- , $943 ," $5,773 ",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,, . ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,,,,,,
