State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **,,,
Rhode Island                                                                                                                   ,"71,457"," $425,789 "," $167,869 "," $22,648 "," $26,971 ", $- ," $19,058 "," $6,527 "," $182,716 ","19,991 ",,,
South Carolina                                                                                                                 ,"421,525"," $2,402,619 "," $1,301,455 "," $10,671 "," $200,887 ", $- ," $59,585 "," $28,335 "," $801,687 ","119,403 ",,,
South Dakota                                                                                                                   ,"75,930"," $489,297 "," $187,591 "," $1,537 "," $28,302 ", $- ," $10,485 "," $6,004 "," $255,378 ","29,749 ",,,
Tennessee                                                                                                                      ,"525,594"," $2,792,092 "," $1,399,741 "," $13,760 "," $197,153 ", $- ," $65,267 "," $31,117 "," $1,085,053 ","131,530 ",,,
Texas                                                                                                                          ,"1,675,689"," $11,164,622 "," $4,959,438 "," $66,077 "," $979,947 "," $1,588,712 "," $213,675 "," $107,047 "," $3,249,727 ","417,639 ",,,
Utah                                                                                                                           ,"151,786"," $770,753 "," $295,027 "," $14,065 "," $79,200 ", $- ," $50,590 "," $10,753 "," $321,117 ","33,131 ",,,
Vermont                                                                                                                        ,"49,905"," $241,641 "," $105,307 "," $6,916 "," $16,312 ", $- ," $4,392 "," $3,488 "," $105,226 ","14,912 ",,,
Virginia                                                                                                                       ,"837,051"," $3,852,375 "," $1,904,164 "," $13,183 "," $744,302 ", $- ," $67,170 "," $56,249 "," $1,067,307 ","135,910 ",,,
Washington                                                                                                                     ,"607,501"," $2,813,701 "," $1,448,669 "," $50,463 "," $310,749 ", $- ," $63,014 "," $42,834 "," $897,973 ","113,997 ",,,
West Virginia                                                                                                                  ,"175,497"," $1,374,658 "," $566,535 "," $9,547 "," $42,877 ", $- ," $204,801 "," $10,573 "," $540,324 ","58,621 ",,,
Wisconsin                                                                                                                     ,"418,461"," $2,034,321 "," $861,184 "," $12,941 "," $120,359 ", $- ," $64,266 "," $33,564 "," $942,007 ","116,497 ",,,
Wyoming                                                                                                                        ,"56,434"," $281,753 "," $110,732 "," $3,705 "," $13,229 ", $- ," $1,622 "," $3,911 "," $148,555 ","18,336 ",,,
Puerto Rico                                                                                                                   ,"102,921"," $1,243,966 "," $604,034 "," $62,023 "," $43,296 ", $- ," $24,208 "," $2,268 "," $508,137 ","58,201 ",,,
Guam,"8,913"," $53,350 "," $37,658 ", $- ," $7,485 ", $- , $- , $883 ," $7,324 ",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, . ,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,, ,,,
